step,root mean square deviation [a0],HF energy [eV],MP2 energy [eV],CCSD energy [eV],"VQE UCCSD (6, 6) energy [eV]"
0,0,-49696.25054406128,-49728.10778311868,-49724.998938356846,-49696.261108071
1,0.3286480243447587,-49698.132055089394,-49729.54854783561,-49726.60838191644,-49698.13801547445
2,0.657296048689522,-49698.84949861666,-49729.982627353784,-49727.139359325214,-49698.85314902598
3,0.9859440730342832,-49699.07248052917,-49730.034384252926,-49727.241298944005,-49699.07472655812
4,1.3145920973790424,-49699.089379352794,-49729.94935053272,-49727.18072500704,-49699.09077529762
5,1.6432401217238035,-49699.026937353214,-49729.8232232447,-49727.06637236391,-49699.02802199961
6,1.9718881460685669,-49698.941384711616,-49729.693272210745,-49726.94253681999,-49698.942302280026
7,2.3005361704133205,-49698.856070169764,-49729.57375157853,-49726.826699250756,-49698.85674582882
8,2.629184194758082,-49698.779323953546,-49729.469681035,-49726.72513650986,-49698.779956890714
9,2.957832219102845,-49698.71313303939,-49729.382063864476,-49726.639280461146,-49698.713743663204
10,3.2864802434476044,-49698.657003268265,-49729.30996263424,-49726.56833789232,-49698.65760327964
11,3.6151282677923655,-49698.60963556794,-49729.25152479217,-49726.51054332775,-49698.610230953374
12,3.943776292137129,-49698.56965385792,-49729.204554106174,-49726.46380638768,-49698.57024733856
13,4.272424316481888,-49698.53585920393,-49729.166809989576,-49726.426020637635,-49698.536452140324
14,4.601072340826648,-49698.50724342357,-49729.13618328676,-49726.39521706072,-49698.50783608786
15,4.929720365171411,-49698.48293139824,-49729.11085491564,-49726.369676168564,-49698.48352379041
16,5.25836838951617,-49698.46215141263,-49729.08935981444,-49726.34803303735,-49698.462743804805
17,5.587016413860927,-49698.444241413374,-49729.070700413235,-49726.32929934902,-49698.44483353344
18,5.91566443820569,-49698.428664791674,-49729.05424214217,-49726.312833186654,-49698.42925691174
19,6.244312462550448,-49698.41501228807,-49729.039620368494,-49726.2982486926,-49698.41560413602
20,6.57296048689521,-49698.4029834887,-49729.02664379606,-49726.28532110068,-49698.40357560876
21,6.901608511239972,-49698.392358797566,-49729.01518725244,-49726.27390455781,-49698.392358797566
22,7.230256535584731,-49698.382968687656,-49729.005148694865,-49726.263882327075,-49698.382968687656
23,7.558904559929492,-49698.37467329237,-49728.996417372946,-49726.255135766776,-49698.37467329237
