step;root mean square deviation [a0];HF energy [eV];MP2 energy [eV];CCSD energy [eV];VQE UCCSD (6, 6) energy [eV]
0;0;-49696.25054;-49728.10778;-49724.99894;-49696.26111
1;0.328648024;-49698.13206;-49729.54855;-49726.60838;-49698.13802
2;0.657296049;-49698.8495;-49729.98263;-49727.13936;-49698.85315
3;0.985944073;-49699.07248;-49730.03438;-49727.2413;-49699.07473
4;1.314592097;-49699.08938;-49729.94935;-49727.18073;-49699.09078
5;1.643240122;-49699.02694;-49729.82322;-49727.06637;-49699.02802
6;1.971888146;-49698.94138;-49729.69327;-49726.94254;-49698.9423
7;2.30053617;-49698.85607;-49729.57375;-49726.8267;-49698.85675
8;2.629184195;-49698.77932;-49729.46968;-49726.72514;-49698.77996
9;2.957832219;-49698.71313;-49729.38206;-49726.63928;-49698.71374
10;3.286480243;-49698.657;-49729.30996;-49726.56834;-49698.6576
11;3.615128268;-49698.60964;-49729.25152;-49726.51054;-49698.61023
12;3.943776292;-49698.56965;-49729.20455;-49726.46381;-49698.57025
13;4.272424316;-49698.53586;-49729.16681;-49726.42602;-49698.53645
14;4.601072341;-49698.50724;-49729.13618;-49726.39522;-49698.50784
15;4.929720365;-49698.48293;-49729.11085;-49726.36968;-49698.48352
16;5.25836839;-49698.46215;-49729.08936;-49726.34803;-49698.46274
17;5.587016414;-49698.44424;-49729.0707;-49726.3293;-49698.44483
18;5.915664438;-49698.42866;-49729.05424;-49726.31283;-49698.42926
19;6.244312463;-49698.41501;-49729.03962;-49726.29825;-49698.4156
20;6.572960487;-49698.40298;-49729.02664;-49726.28532;-49698.40358
21;6.901608511;-49698.39236;-49729.01519;-49726.2739;-49698.39236
22;7.230256536;-49698.38297;-49729.00515;-49726.26388;-49698.38297
23;7.55890456;-49698.37467;-49728.99642;-49726.25514;-49698.37467
