step;root mean square deviation [a0];HF energy [eV];MP2 energy [eV];CCSD energy [eV];VQE UCCSD (2, 2) energy [eV]
0;0;-46659.40396;-46683.80044;-46680.9415;-46659.41382
1;0.369729018;-46661.54259;-46685.47299;-46682.79;-46661.54712
2;0.739458035;-46662.22773;-46685.86149;-46683.28181;-46662.22994
3;1.109187053;-46662.34123;-46685.79847;-46683.27457;-46662.34253
4;1.478916071;-46662.24058;-46685.59068;-46683.09689;-46662.24063
5;1.848645088;-46662.07591;-46685.35264;-46682.87635;-46662.07593
6;2.218374106;-46661.90763;-46685.1271;-46682.66233;-46661.90764
7;2.588103124;-46661.75635;-46684.92926;-46682.47278;-46661.75636
8;2.957832142;-46661.6266;-46684.76261;-46682.31236;-46661.62661
9;3.327561159;-46661.51703;-46684.62522;-46682.17965;-46661.51703
10;3.697290177;-46661.42474;-46684.51305;-46682.07105;-46661.42474
11;4.067019195;-46661.34706;-46684.42185;-46681.98255;-46661.34706
12;4.436748212;-46661.28185;-46684.34762;-46681.91044;-46661.28185
13;4.80647723;-46661.22711;-46684.28664;-46681.85118;-46661.22711
14;5.176206248;-46661.18089;-46684.23561;-46681.80165;-46661.18089
15;5.545935265;-46661.14139;-46684.19194;-46681.75937;-46661.14139
16;5.915664283;-46661.10714;-46684.15388;-46681.7226;-46661.10714
17;6.285393301;-46661.07712;-46684.12037;-46681.69028;-46661.07712
18;6.655122319;-46661.05068;-46684.09085;-46681.66183;-46661.05068
19;7.024851336;-46661.0274;-46684.06499;-46681.6369;-46661.0274
20;7.394580354;-46661.00695;-46684.04251;-46681.61519;-46661.00695
21;7.764309372;-46660.98905;-46684.02311;-46681.59641;-46660.98905
22;8.134038389;-46660.97341;-46684.00643;-46681.58022;-46660.97341
23;8.503767407;-46660.95973;-46683.9921;-46681.56626;-46660.95973
